epoch,step,train_loss
0,9,72.24172973632812
1,19,63.25376892089844
2,29,55.686119079589844
3,39,49.16451644897461
4,49,43.27465057373047
5,59,38.128726959228516
6,69,33.66176223754883
7,79,29.58388328552246
8,89,26.062305450439453
9,99,23.025484085083008
10,109,20.30240821838379
11,119,17.903642654418945
12,129,15.8794584274292
13,139,14.07303237915039
14,149,12.495985984802246
15,159,11.081134796142578
16,169,9.907442092895508
17,179,8.784385681152344
18,189,7.816665172576904
19,199,7.032476425170898
20,209,6.313813209533691
21,219,5.696479320526123
22,229,5.171504974365234
23,239,4.684710502624512
24,249,4.27902889251709
25,259,3.929386854171753
26,269,3.6221468448638916
27,279,3.3472471237182617
28,289,3.10733962059021
29,299,2.894561767578125
30,309,2.713034152984619
31,319,2.546495199203491
32,329,2.405097246170044
33,339,2.2813034057617188
34,349,2.16926646232605
35,359,2.072509765625
36,369,1.9868239164352417
37,379,1.9133721590042114
38,389,1.8491839170455933
39,399,1.7922780513763428
40,409,1.7430601119995117
41,419,1.699885606765747
42,429,1.660670518875122
43,439,1.6267255544662476
44,449,1.59512197971344
45,459,1.5677307844161987
46,469,1.5434385538101196
47,479,1.5215717554092407
48,489,1.502455472946167
49,499,1.4853386878967285
