epoch,step,train_loss
16,49,4.270534515380859
33,99,2.358161449432373
49,149,2.3274648189544678
66,199,2.2233779430389404
83,249,2.0044972896575928
99,299,0.5257758498191833
116,349,0.592278003692627
133,399,1.2253152132034302
149,449,1.429900884628296
166,499,1.2960635423660278
183,549,1.2296022176742554
199,599,1.203618049621582
216,649,0.8500528335571289
233,699,0.8572152853012085
249,749,0.8937755823135376
266,799,1.1277620792388916
283,849,1.0855563879013062
299,899,1.1420317888259888
316,949,0.9504473209381104
333,999,0.9643113613128662
349,1049,0.989478588104248
366,1099,0.8608037233352661
383,1149,1.0448492765426636
399,1199,0.8670617341995239
416,1249,1.0595117807388306
433,1299,0.817840039730072
449,1349,1.0218511819839478
466,1399,1.006002426147461
483,1449,1.0148296356201172
499,1499,0.8085117936134338
