epoch,step,train_loss
16,49,0.017251690849661827
33,99,0.05058382451534271
49,149,0.1149713322520256
66,199,1.599400281906128
83,249,10.293070793151855
99,299,9.988317489624023
116,349,0.2913050353527069
133,399,9.281815528869629
149,449,1.4129011631011963
166,499,8.744285583496094
183,549,1.3692437410354614
199,599,0.3681449890136719
216,649,0.3926026523113251
233,699,7.7140984535217285
249,749,0.4030904769897461
266,799,7.273235321044922
283,849,7.073797225952148
299,899,6.894507884979248
316,949,1.4895377159118652
333,999,6.440451145172119
349,1049,0.4580395519733429
366,1099,1.524829626083374
383,1149,0.460872620344162
399,1199,5.582913875579834
416,1249,1.5838825702667236
433,1299,5.0464887619018555
449,1349,1.650174856185913
466,1399,4.524580478668213
483,1449,1.6312813758850098
499,1499,0.5213667750358582
